,LoanTenure,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationQuarter,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,EMI,ELA,InterestAmount,TotalAmount,ROI,PROI
393,36,0,0.11296,0.092,0.082,0.0608,0.021,0.0608,6.0,0,9.0,1,36,41,1,45.0,1,0,368,720.0,739.0,11129,10.0,7.0,34.0,3,295.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,12349.0,0.75,4031.0,32.0,1.0,1.0,0.12,2,1,16666.666667,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,44,43359,4700,20,149.9,5262.17,4700.0,562.17,-61.1,0.0,0.0,0.0,0.0,1.0,0,0,0.0,135,451.3905471980045,20266.0,432.4,5132.4,0.08424908424908426,0.1054054054054054
394,60,0,0.21576,0.1915,0.1815,0.16862,0.0799,0.08872,4.0,3,6.0,7,38,12,0,101.0,0,0,368,720.0,739.0,4465,6.0,5.0,19.0,5,165.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1220.0,0.1,8640.0,14.0,1.0,1.0,0.22,4,1,4200.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,6,102585,15000,23,390.35,1588.0501,462.55,1125.5001,-57.15,-132.72,0.0,0.0,0.0,1.0,0,0,0.0,1,88.58073322172467,187350.0,2872.5,17872.5,0.16072177926982795,0.3054054054054054
395,36,0,0.15512,0.148,0.138,0.1615,0.0724,0.0917,4.07224258423391,1,5.950066585742402,7,48,35,7,37.0,1,0,996,760.0,779.0,9313,13.0,12.0,16.0,7,276.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13718.0,0.48,14282.0,14.0,1.0,1.0,0.22,4,0,5000.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,66,36559,5000,18,172.84,5441.4,5000.0,441.4,-29.82,0.0,0.0,0.0,0.0,1.0,0,0,0.0,123,745.1802817867325,31640.0,740.0,5740.0,0.1289198606271777,0.1054054054054054
396,60,0,0.23718,0.2124,0.2024,0.1988,0.0599,0.1389,5.0,2,8.0,1,10,62,0,37.0,1,0,368,740.0,759.0,6466,8.0,7.0,9.0,4,169.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5273.0,0.14,32521.0,9.0,0.88,1.0,0.31,3,1,2916.666667,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,18,74818,11000,22,299.07,12829.1,11000.0,1829.1,-86.11,0.0,0.0,0.0,0.0,1.0,0,0,0.0,52,2336.4223766822665,151184.0,2336.4,13336.4,0.17518970636753547,0.1054054054054054
397,60,1,0.32393,0.2969,0.2869,0.2612,0.1375,0.1237,2.0,5,3.0,15,9,41,1,98.0,0,0,368,620.0,639.0,10691,6.0,6.0,39.0,5,212.0,0.0,4.0,11.0,18536.0,21.0,0.0,0.0,3511.0,1.03,30.0,32.0,0.66,0.0,0.11,4,1,4166.666667,3.0,50.0,50.0,0.0,0.0,7500.0,3884.78,-49.0,260,6.0,11,88817,4000,15,128.65,128.65,122.14,6.51,-0.22,0.0,3877.86,3877.86,0.0,1.0,0,0,0.0,58,36.26337209647463,75256.0,1187.6,5187.6,0.22893052664045027,0.2554054054054054
398,36,0,0.15833,0.1299,0.1199,0.1148,0.0399,0.0749,6.0,0,6.0,18,14,41,0,47.0,1,0,368,760.0,779.0,4452,33.0,27.0,68.0,25,1593.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,58355.0,0.83,11411.0,59.0,0.98,1.0,0.35,5,1,8220.916667,1.0,7.0,7.0,0.0,0.0,15000.0,12359.18,-25.0,0,14.0,7,99584,15000,23,505.34,3032.04,2106.71,925.33,-71.24,0.0,0.0,0.0,0.0,1.0,0,0,0.0,226,277.0747894193205,85146.0,1948.4999999999998,16948.5,0.11496592618815824,0.1554054054054054
399,36,1,0.25517,0.24,0.22,0.1615,0.0724,0.0917,4.07224258423391,5,5.950066585742402,0,47,1,1,190.0,0,1,17,560.0,579.0,719,12.0,12.0,24.0,10,436.0,3.0,5.0,0.0,0.0,10.0,0.0,0.0,8226.0,0.91,523.0,21.0,0.76,1.0,0.3,3,1,3988.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,565,29.0,80,16872,1500,17,58.85,1390.04,875.67,514.37,-22.36,0.0,624.36,624.33,0.0,1.0,0,0,0.0,20,210.25190858065673,14460.0,360.0,1860.0,0.1935483870967742,0.15540540540540543
400,36,0,0.2148,0.2,0.19,0.1615,0.0724,0.0917,4.07224258423391,2,5.950066585742402,7,7,19,1,50.0,0,0,454,680.0,699.0,9813,6.0,6.0,14.0,6,167.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,15338.0,0.5,15062.0,14.0,0.92,2.0,0.1,2,1,8500.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,66,37109,15000,18,557.45,15457.87,15000.0,457.87,-22.89,0.0,0.0,0.0,0.0,1.0,0,0,0.0,568,3004.2384742200115,123000.0,3000.0,18000.0,0.16666666666666666,0.1554054054054054
401,36,0,0.29776,0.29,0.285,0.1615,0.0724,0.0917,4.07224258423391,5,5.950066585742402,0,4,12,2,67.0,0,0,877,580.0,599.0,2815,10.0,9.0,21.0,11,494.0,5.0,7.0,0.0,0.0,3.0,0.0,0.0,8549.0,0.6,4100.0,22.0,0.94,0.0,0.21,6,1,5533.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,90,3009,3001,16,125.76,3596.83,3001.0,595.83,-10.26,0.0,0.0,0.0,0.0,1.0,0,0,0.0,20,870.3808823969247,34331.0,870.29,3871.29,0.22480620155038758,0.1054054054054054
402,60,0,0.17849,0.1551,0.1451,0.1445,0.033,0.1115,6.0,0,9.0,1,20,35,0,11.0,1,0,368,800.0,819.0,11398,4.0,4.0,24.0,3,154.0,0.0,2.0,1.0,0.0,20.0,0.0,0.0,1446.0,0.29,981.0,20.0,0.7,0.0,0.11,4,1,4833.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,19,71667,15500,22,372.91,6697.38,3448.04,3249.34,-209.49,0.0,0.0,0.0,0.0,1.0,0,0,0.0,58,534.8845628840061,159743.0,2404.0499999999997,17904.05,0.13427408882347847,0.1554054054054054
